0,1,2,_source,_url,_table_type,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,_table_id,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,xG,xGA,xGD,xGD/90,Wk,xG.1
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Fri,1982-06-18,21:00,Brazil br,4–1,sct Scotland,47379,Benito Villamarin (Neutral Site),Jesus Paulino Siles,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Sat,1982-06-19,19:15,Poland pl,0–0,cm Cameroon,19000,Riazor (Neutral Site),Alexis Ponnet,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Sat,1982-06-19,21:00,Belgium be,1–0,sv El Salvador,15000,Nuevo Estadio (Neutral Site),Malcolm Moffatt,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Sat,1982-06-19,21:00,Soviet Union su,3–0,nz New Zealand,19000,La Rosaleda (Neutral Site),Yusef Mohamed El Ghoul,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Sun,1982-06-20,17:15,England eng,2–0,cs Czechoslovakia,41123,San Mames (Neutral Site),Charles Corver,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Sun,1982-06-20,17:15,West Germany de,4–1,cl Chile,42000,El Molinon (Neutral Site),Bruno Galler,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Sun,1982-06-20,21:00,Spain es,2–1,yu Yugoslavia,48000,Luis Casanova (Neutral Site),Henning Lund-Sorensen,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Mon,1982-06-21,17:15,Algeria dz,0–2,at Austria,22000,Carlos Tartiere (Neutral Site),Tony Boskovic,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Mon,1982-06-21,17:15,France fr,4–1,kw Kuwait,30043,Jose Zorrilla (Neutral Site),Miroslav Stupar,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Mon,1982-06-21,21:00,Honduras hn,1–1,nir Northern Ireland,15000,La Romareda (Neutral Site),Thomson Tam Sun Chan,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,Notes,sched_all,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Tue,1982-06-22,17:15,Poland pl,5–1,pe Peru,25000,Riazor (Neutral Site),Mario Rubio Vazquez,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Tue,1982-06-22,21:00,Soviet Union su,2–2,sct Scotland,45000,La Rosaleda (Neutral Site),Nicolae Rainea,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Tue,1982-06-22,21:00,Belgium be,1–1,hu Hungary,37000,Nuevo Estadio (Neutral Site),Clive White,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Wed,1982-06-23,17:15,Italy it,1–1,cm Cameroon,20000,Estadio Municipal de Balaï¿½dos (Neutral Site),Bogdan Dotchev,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Wed,1982-06-23,21:00,Brazil br,4–0,nz New Zealand,43000,Benito Villamarin (Neutral Site),Damir Matovinovic,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Wed,1982-06-23,21:00,Argentina ar,2–0,sv El Salvador,32500,Jose Rico Perez (Neutral Site),Luis Barrancos,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Thu,1982-06-24,17:15,France fr,1–1,cs Czechoslovakia,28000,Jose Zorrilla (Neutral Site),Paolo Casarin,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Thu,1982-06-24,17:15,Algeria dz,3–2,cl Chile,16000,Carlos Tartiere (Neutral Site),Romulo Mendez Molina,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Thu,1982-06-24,21:00,Honduras hn,0–1,yu Yugoslavia,25000,La Romareda (Neutral Site),Gaston Castro,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Fri,1982-06-25,17:15,West Germany de,1–0,at Austria,41000,El Molinon (Neutral Site),Robert Valentine,Match Report,,,,,,
