home_team,away_team,home_goals,away_goals,date,attendance,venue,referee,result,home_form_goals_scored,home_form_goals_conceded,home_form_wins,home_form_draws,home_form_losses,home_form_matches,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_wins,away_form_draws,away_form_losses,away_form_matches,away_form_win_rate,season
Köln,Kaiserslautern,4,1,1989-08-16,,,Hermann Albrecht,win,1.8,1.2,20,10,7,37,0.5405405405405406,2.0,1.4,12,14,11,37,0.32432432432432434,
Karlsruher,Bayern Munich,3,3,1989-08-16,,,Hellmut Krug,draw,0.8,2.0,12,9,16,37,0.32432432432432434,2.0,0.8,21,13,3,37,0.5675675675675675,
Dortmund,Nürnberg,2,1,1989-08-22,,,Hans-Heinrich Barnick,win,1.4,1.2,14,13,11,38,0.3684210526315789,1.2,1.4,9,12,17,38,0.23684210526315788,
St Pauli,Homburg,1,1,1989-08-22,,,Georg Dardenne,draw,1.4,1.8,9,15,14,38,0.23684210526315788,1.0,1.75,1,1,2,4,0.25,
Werder Bremen,Gladbach,0,0,1989-08-22,,,Gerhard Theobald,draw,1.6,0.6,19,11,8,38,0.5,1.0,1.4,13,16,9,38,0.34210526315789475,
Bayern Munich,Köln,5,1,1989-08-23,,,Wolf-Günter Wiesel,win,2.4,1.0,21,14,3,38,0.5526315789473685,1.8,1.0,21,10,7,38,0.5526315789473685,
Stuttgart,Eint Frankfurt,1,1,1989-08-23,,,Hellmut Krug,draw,0.6,0.8,18,8,12,38,0.47368421052631576,2.2,0.8,11,11,16,38,0.2894736842105263,
Kaiserslautern,Mannheim,2,3,1989-08-23,,,Manfred Harder,loss,2.2,1.6,12,14,12,38,0.3157894736842105,1.4,1.6,11,12,15,38,0.2894736842105263,
Leverkusen,Karlsruher,1,1,1989-08-23,,,Wolfgang Mierswa,draw,0.8,1.0,11,16,11,38,0.2894736842105263,1.2,2.6,12,10,16,38,0.3157894736842105,
Uerdingen,Hamburger SV,5,2,1989-08-23,,,Manfred Neuner,win,1.4,1.8,11,13,14,38,0.2894736842105263,1.6,1.0,18,11,9,38,0.47368421052631576,
Düsseldorf,Bochum,2,2,1989-08-23,,,Markus Merk,draw,1.0,1.5,0,2,2,4,0.0,1.0,2.8,10,8,20,38,0.2631578947368421,
Gladbach,Dortmund,0,0,1989-08-26,,,Manfred Harder,draw,1.0,0.6,13,17,9,39,0.3333333333333333,1.2,1.0,15,13,11,39,0.38461538461538464,
Bochum,Stuttgart,2,0,1989-08-26,,,Wolf-Rüdiger Umbach,win,1.4,2.2,10,9,20,39,0.2564102564102564,0.8,0.4,18,9,12,39,0.46153846153846156,
Homburg,Werder Bremen,1,1,1989-08-26,,,Aron Schmidhuber,draw,1.0,1.6,1,2,2,5,0.2,1.0,0.6,19,12,8,39,0.48717948717948717,
Hamburger SV,Kaiserslautern,3,0,1989-08-26,,,Klaus Broska,win,1.2,2.0,18,11,10,39,0.46153846153846156,2.4,2.2,12,14,13,39,0.3076923076923077,
Eint Frankfurt,Uerdingen,2,1,1989-08-26,,,Hans-Peter Dellwing,win,2.2,0.8,11,12,16,39,0.28205128205128205,2.2,1.2,12,13,14,39,0.3076923076923077,
Karlsruher,St Pauli,0,0,1989-08-26,,,Gerhard Theobald,draw,1.0,2.2,12,11,16,39,0.3076923076923077,0.6,1.8,9,16,14,39,0.23076923076923078,
